"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t95","pow_quail"
0,0,0,0.018,0.011,0.018,0.058,0.023
0,0.2,0,0.045,0.027,0.022,0.041,0.086
0,0.4,0,0.078,0.026,0.018,0.068,0.215
0,0.6,0,0.107,0.015,0.044,0.128,0.37
0,0.8,0,0.138,0.024,0.055,0.155,0.413
0,1,0,0.151,0.016,0.046,0.191,0.457
0,1.2,0,0.178,0.021,0.065,0.241,0.496
0,1.4,0,0.194,0.024,0.053,0.228,0.481
0,1.6,0,0.211,0.026,0.083,0.269,0.484
0,1.8,0,0.239,0.027,0.077,0.289,0.497
0,2,0,0.231,0.019,0.098,0.276,0.479
0,2.2,0,0.238,0.011,0.114,0.335,0.483
0,2.4,0,0.254,0.025,0.091,0.313,0.495
0,2.6,0,0.269,0.024,0.094,0.352,0.51
0,2.8,0,0.295,0.03,0.111,0.346,0.508
0,3,0,0.293,0.029,0.129,0.353,0.519
0.2,0,0,0.251,0.182,0.147,0.09,0.016
0.2,0.2,0,0.269,0.153,0.168,0.137,0.055
0.2,0.4,0,0.286,0.117,0.17,0.197,0.178
0.2,0.6,0,0.267,0.083,0.166,0.209,0.244
0.2,0.8,0,0.227,0.066,0.155,0.236,0.31
0.2,1,0,0.247,0.076,0.156,0.233,0.321
0.2,1.2,0,0.251,0.053,0.177,0.272,0.37
0.2,1.4,0,0.256,0.057,0.179,0.277,0.377
0.2,1.6,0,0.266,0.052,0.191,0.311,0.404
0.2,1.8,0,0.24,0.041,0.163,0.302,0.385
0.2,2,0,0.261,0.04,0.184,0.323,0.43
0.2,2.2,0,0.284,0.039,0.191,0.319,0.428
0.2,2.4,0,0.266,0.03,0.202,0.354,0.445
0.2,2.6,0,0.27,0.035,0.164,0.319,0.404
0.2,2.8,0,0.27,0.03,0.175,0.372,0.44
0.2,3,0,0.289,0.031,0.209,0.356,0.448
0.4,0,0,0.139,0.135,0.136,0.115,0.01
