"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t90","pow_rq.t95"
0.04,0.3,0,0.738,0.56,0.992,1,0.998
0.04,0.32,0,0.703,0.523,0.996,1,0.999
0.04,0.34,0,0.673,0.506,0.995,1,0.999
0.04,0.36,0,0.679,0.505,0.992,1,1
0.04,0.38,0,0.642,0.458,0.996,1,0.999
0.04,0.4,0,0.663,0.492,0.997,1,1
0.04,0.42,0,0.612,0.477,0.995,1,0.999
0.04,0.44,0,0.666,0.47,1,1,1
0.04,0.46,0,0.637,0.461,0.999,1,1
0.04,0.48,0,0.62,0.452,0.999,1,1
0.04,0.5,0,0.6,0.454,1,1,1
0.04,0.52,0,0.595,0.448,1,1,1
0.04,0.54,0,0.541,0.425,1,1,1
0.04,0.56,0,0.569,0.431,1,1,1
0.04,0.58,0,0.538,0.425,1,1,1
0.04,0.6,0,0.531,0.383,1,1,1
0.04,0.62,0,0.54,0.359,1,1,1
0.04,0.64,0,0.515,0.367,1,1,1
0.04,0.66,0,0.478,0.383,1,1,1
0.04,0.68,0,0.498,0.368,1,1,1
0.04,0.7,0,0.457,0.352,1,1,1
0.04,0.72,0,0.492,0.363,1,1,1
0.04,0.74,0,0.469,0.367,1,1,1
0.04,0.76,0,0.461,0.358,1,1,1
0.04,0.78,0,0.444,0.332,1,1,1
0.04,0.8,0,0.443,0.341,1,1,1
0.04,0.82,0,0.444,0.327,1,1,1
0.04,0.84,0,0.421,0.33,1,1,1
0.04,0.86,0,0.458,0.332,1,1,1
0.04,0.88,0,0.409,0.307,1,1,1
0.04,0.9,0,0.393,0.305,1,1,1
0.04,0.92,0,0.405,0.298,1,1,1
0.04,0.94,0,0.378,0.302,1,1,1
0.04,0.96,0,0.371,0.315,1,1,1
0.04,0.98,0,0.389,0.312,1,1,1
0.04,1,0,0.353,0.29,1,1,1
0.06,0,0,0.999,0.98,0.941,0.808,0.613
0.06,0.02,0,1,0.979,0.964,0.861,0.725
0.06,0.04,0,0.996,0.959,0.972,0.912,0.773
0.06,0.06,0,0.999,0.958,0.982,0.956,0.855
0.06,0.08,0,0.999,0.951,0.983,0.979,0.922
0.06,0.1,0,0.992,0.939,0.984,0.972,0.929
0.06,0.12,0,0.995,0.935,0.994,0.985,0.957
0.06,0.14,0,0.993,0.932,0.996,0.989,0.978
0.06,0.16,0,0.994,0.934,0.995,0.997,0.982
0.06,0.18,0,0.991,0.918,0.997,0.997,0.99
0.06,0.2,0,0.989,0.912,0.996,0.999,0.993
0.06,0.22,0,0.987,0.909,0.999,0.999,0.997
0.06,0.24,0,0.984,0.894,0.998,1,0.996
0.06,0.26,0,0.983,0.892,0.997,1,1
0.06,0.28,0,0.969,0.88,0.999,1,0.999
0.06,0.3,0,0.968,0.862,1,1,1
0.06,0.32,0,0.967,0.837,0.999,1,1
0.06,0.34,0,0.967,0.844,1,1,1
0.06,0.36,0,0.953,0.832,1,1,0.999
0.06,0.38,0,0.932,0.808,0.999,1,1
0.06,0.4,0,0.946,0.816,1,1,1
0.06,0.42,0,0.939,0.816,1,1,1
0.06,0.44,0,0.93,0.826,1,1,1
0.06,0.46,0,0.919,0.813,1,1,1
0.06,0.48,0,0.899,0.778,1,1,1
0.06,0.5,0,0.898,0.76,1,1,1
0.06,0.52,0,0.892,0.779,1,1,1
