"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t95","pow_quail"
0,0,0,0.025,0.032,0.028,0.044,0.02
0,0.2,0,0.048,0.028,0.056,0.096,0.145
0,0.4,0,0.066,0.029,0.066,0.157,0.297
0,0.6,0,0.092,0.022,0.097,0.258,0.422
0,0.8,0,0.118,0.033,0.144,0.351,0.493
0,1,0,0.146,0.023,0.18,0.398,0.504
0,1.2,0,0.187,0.029,0.191,0.424,0.505
0,1.4,0,0.173,0.036,0.205,0.412,0.478
0,1.6,0,0.201,0.024,0.219,0.428,0.489
0,1.8,0,0.204,0.026,0.222,0.446,0.49
0,2,0,0.199,0.029,0.232,0.433,0.479
0,2.2,0,0.248,0.032,0.242,0.466,0.515
0,2.4,0,0.228,0.025,0.253,0.44,0.48
0,2.6,0,0.262,0.026,0.29,0.473,0.509
0,2.8,0,0.276,0.03,0.309,0.493,0.525
0,3,0,0.263,0.033,0.273,0.463,0.496
0.2,0,0,0.308,0.291,0.282,0.204,0.013
0.2,0.2,0,0.318,0.252,0.283,0.276,0.1
0.2,0.4,0,0.332,0.239,0.3,0.303,0.235
0.2,0.6,0,0.305,0.184,0.284,0.303,0.305
0.2,0.8,0,0.333,0.185,0.322,0.329,0.35
0.2,1,0,0.301,0.137,0.306,0.33,0.352
0.2,1.2,0,0.319,0.134,0.324,0.353,0.368
0.2,1.4,0,0.309,0.114,0.322,0.356,0.367
0.2,1.6,0,0.316,0.098,0.318,0.364,0.377
0.2,1.8,0,0.299,0.08,0.318,0.368,0.38
0.2,2,0,0.284,0.086,0.323,0.367,0.38
0.2,2.2,0,0.326,0.079,0.362,0.414,0.423
0.2,2.4,0,0.281,0.073,0.338,0.395,0.409
0.2,2.6,0,0.282,0.065,0.326,0.383,0.394
0.2,2.8,0,0.304,0.064,0.368,0.416,0.421
0.2,3,0,0.315,0.07,0.369,0.42,0.429
0.4,0,0,0.151,0.151,0.151,0.149,0.007
0.4,0.2,0,0.169,0.169,0.169,0.167,0.054
0.4,0.4,0,0.168,0.168,0.168,0.166,0.109
0.4,0.6,0,0.195,0.191,0.194,0.193,0.18
0.4,0.8,0,0.233,0.226,0.231,0.226,0.231
0.4,1,0,0.262,0.24,0.26,0.259,0.262
0.4,1.2,0,0.26,0.222,0.26,0.254,0.26
0.4,1.4,0,0.265,0.219,0.259,0.263,0.265
0.4,1.6,0,0.269,0.207,0.269,0.269,0.272
0.4,1.8,0,0.303,0.212,0.298,0.303,0.306
0.4,2,0,0.331,0.207,0.329,0.334,0.335
0.4,2.2,0,0.336,0.185,0.338,0.342,0.344
0.4,2.4,0,0.313,0.159,0.31,0.317,0.321
0.4,2.6,0,0.324,0.17,0.319,0.332,0.332
0.4,2.8,0,0.331,0.161,0.327,0.339,0.342
0.4,3,0,0.34,0.168,0.345,0.354,0.358
0.6,0,0,0.056,0.056,0.056,0.056,0.002
0.6,0.2,0,0.08,0.08,0.08,0.08,0.025
0.6,0.4,0,0.1,0.1,0.1,0.1,0.08
0.6,0.6,0,0.117,0.117,0.117,0.117,0.11
0.6,0.8,0,0.13,0.13,0.13,0.13,0.129
0.6,1,0,0.166,0.166,0.166,0.166,0.166
0.6,1.2,0,0.16,0.157,0.16,0.16,0.16
0.6,1.4,0,0.176,0.169,0.176,0.176,0.176
0.6,1.6,0,0.186,0.179,0.186,0.185,0.186
0.6,1.8,0,0.222,0.217,0.222,0.222,0.222
0.6,2,0,0.238,0.213,0.237,0.237,0.238
0.6,2.2,0,0.268,0.243,0.268,0.266,0.268
0.6,2.4,0,0.301,0.258,0.3,0.3,0.301
0.6,2.6,0,0.271,0.21,0.271,0.27,0.271
0.6,2.8,0,0.302,0.221,0.299,0.301,0.302
0.6,3,0,0.315,0.225,0.313,0.314,0.316
0.8,0,0,0.006,0.006,0.006,0.006,0.001
0.8,0.2,0,0.031,0.031,0.031,0.031,0.014
0.8,0.4,0,0.035,0.035,0.035,0.035,0.027
0.8,0.6,0,0.05,0.05,0.05,0.05,0.047
0.8,0.8,0,0.057,0.057,0.057,0.057,0.056
0.8,1,0,0.092,0.092,0.092,0.092,0.091
0.8,1.2,0,0.126,0.126,0.126,0.126,0.126
0.8,1.4,0,0.109,0.109,0.109,0.109,0.109
0.8,1.6,0,0.118,0.118,0.118,0.118,0.118
0.8,1.8,0,0.169,0.169,0.169,0.168,0.169
0.8,2,0,0.159,0.157,0.159,0.159,0.159
0.8,2.2,0,0.166,0.164,0.166,0.166,0.166
0.8,2.4,0,0.201,0.197,0.201,0.201,0.201
0.8,2.6,0,0.199,0.189,0.199,0.197,0.199
0.8,2.8,0,0.202,0.191,0.201,0.202,0.202
0.8,3,0,0.235,0.216,0.235,0.235,0.235
1,0,0,0.004,0.004,0.004,0.004,0
1,0.2,0,0.006,0.006,0.006,0.006,0.002
1,0.4,0,0.011,0.011,0.011,0.011,0.01
1,0.6,0,0.025,0.025,0.025,0.025,0.023
1,0.8,0,0.028,0.028,0.028,0.028,0.028
1,1,0,0.047,0.047,0.047,0.047,0.047
1,1.2,0,0.061,0.061,0.061,0.061,0.061
1,1.4,0,0.07,0.07,0.07,0.07,0.07
1,1.6,0,0.092,0.092,0.092,0.092,0.092
1,1.8,0,0.1,0.1,0.1,0.1,0.1
1,2,0,0.116,0.115,0.116,0.116,0.116
1,2.2,0,0.134,0.133,0.134,0.134,0.134
1,2.4,0,0.131,0.131,0.131,0.13,0.131
1,2.6,0,0.164,0.163,0.164,0.163,0.164
1,2.8,0,0.155,0.151,0.155,0.155,0.155
1,3,0,0.193,0.191,0.193,0.193,0.193
1.2,0,0,0,0,0,0,0
1.2,0.2,0,0.001,0.001,0.001,0.001,0.001
1.2,0.4,0,0.006,0.006,0.006,0.006,0.004
1.2,0.6,0,0.008,0.008,0.008,0.008,0.007
1.2,0.8,0,0.024,0.024,0.024,0.024,0.024
1.2,1,0,0.027,0.027,0.027,0.027,0.027
1.2,1.2,0,0.027,0.027,0.027,0.027,0.027
1.2,1.4,0,0.039,0.039,0.039,0.039,0.039
1.2,1.6,0,0.057,0.057,0.057,0.057,0.057
1.2,1.8,0,0.063,0.063,0.063,0.063,0.063
1.2,2,0,0.078,0.078,0.078,0.078,0.078
1.2,2.2,0,0.082,0.082,0.082,0.082,0.082
1.2,2.4,0,0.092,0.092,0.092,0.092,0.092
1.2,2.6,0,0.123,0.123,0.123,0.123,0.123
1.2,2.8,0,0.105,0.105,0.105,0.105,0.105
1.2,3,0,0.148,0.148,0.148,0.147,0.148
1.4,0,0,0,0,0,0,0
1.4,0.2,0,0,0,0,0,0
1.4,0.4,0,0.001,0.001,0.001,0.001,0.001
1.4,0.6,0,0.003,0.003,0.003,0.003,0.003
1.4,0.8,0,0.006,0.006,0.006,0.006,0.006
1.4,1,0,0.007,0.007,0.007,0.007,0.007
1.4,1.2,0,0.013,0.013,0.013,0.013,0.013
1.4,1.4,0,0.013,0.013,0.013,0.013,0.013
1.4,1.6,0,0.03,0.03,0.03,0.03,0.03
1.4,1.8,0,0.041,0.041,0.041,0.041,0.041
1.4,2,0,0.03,0.03,0.03,0.03,0.03
1.4,2.2,0,0.053,0.053,0.053,0.053,0.053
1.4,2.4,0,0.061,0.061,0.061,0.061,0.061
1.4,2.6,0,0.078,0.078,0.078,0.078,0.078
1.4,2.8,0,0.087,0.087,0.087,0.087,0.087
1.4,3,0,0.097,0.097,0.097,0.097,0.097
1.6,0,0,0,0,0,0,0
1.6,0.2,0,0,0,0,0,0
1.6,0.4,0,0,0,0,0,0
1.6,0.6,0,0.001,0.001,0.001,0.001,0.001
1.6,0.8,0,0.001,0.001,0.001,0.001,0.001
1.6,1,0,0,0,0,0,0
1.6,1.2,0,0.006,0.006,0.006,0.006,0.006
1.6,1.4,0,0.009,0.009,0.009,0.009,0.009
1.6,1.6,0,0.01,0.01,0.01,0.01,0.01
1.6,1.8,0,0.022,0.022,0.022,0.022,0.022
1.6,2,0,0.027,0.027,0.027,0.027,0.027
1.6,2.2,0,0.036,0.036,0.036,0.036,0.036
1.6,2.4,0,0.051,0.051,0.051,0.051,0.051
1.6,2.6,0,0.056,0.056,0.056,0.056,0.056
1.6,2.8,0,0.053,0.053,0.053,0.053,0.053
1.6,3,0,0.08,0.08,0.08,0.08,0.08
1.8,0,0,0,0,0,0,0
1.8,0.2,0,0,0,0,0,0
1.8,0.4,0,0,0,0,0,0
1.8,0.6,0,0.002,0.002,0.002,0.002,0.002
1.8,0.8,0,0,0,0,0,0
1.8,1,0,0.001,0.001,0.001,0.001,0.001
1.8,1.2,0,0.003,0.003,0.003,0.003,0.003
1.8,1.4,0,0.002,0.002,0.002,0.002,0.002
1.8,1.6,0,0.005,0.005,0.005,0.005,0.005
