"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t95","pow_quail"
1.8,1.8,0,0.012,0.012,0.012,0.012,0.012
1.8,2,0,0.016,0.016,0.016,0.016,0.016
1.8,2.2,0,0.025,0.025,0.025,0.025,0.025
1.8,2.4,0,0.032,0.032,0.032,0.032,0.032
1.8,2.6,0,0.036,0.036,0.036,0.036,0.036
1.8,2.8,0,0.039,0.039,0.039,0.039,0.039
1.8,3,0,0.056,0.056,0.056,0.056,0.056
2,0,0,0,0,0,0,0
2,0.2,0,0,0,0,0,0
2,0.4,0,0,0,0,0,0
2,0.6,0,0,0,0,0,0
2,0.8,0,0,0,0,0,0
2,1,0,0,0,0,0,0
2,1.2,0,0,0,0,0,0
2,1.4,0,0.001,0.001,0.001,0.001,0.001
2,1.6,0,0.003,0.003,0.003,0.003,0.003
2,1.8,0,0.006,0.006,0.006,0.006,0.006
2,2,0,0.011,0.011,0.011,0.011,0.011
2,2.2,0,0.013,0.013,0.013,0.013,0.013
2,2.4,0,0.012,0.012,0.012,0.012,0.012
2,2.6,0,0.02,0.02,0.02,0.02,0.02
2,2.8,0,0.023,0.023,0.023,0.023,0.023
2,3,0,0.028,0.028,0.028,0.028,0.028
2.2,0,0,0,0,0,0,0
2.2,0.2,0,0,0,0,0,0
2.2,0.4,0,0,0,0,0,0
2.2,0.6,0,0,0,0,0,0
2.2,0.8,0,0,0,0,0,0
2.2,1,0,0,0,0,0,0
2.2,1.2,0,0,0,0,0,0
2.2,1.4,0,0.002,0.002,0.002,0.002,0.002
2.2,1.6,0,0.002,0.002,0.002,0.002,0.002
2.2,1.8,0,0.007,0.007,0.007,0.007,0.007
2.2,2,0,0.006,0.006,0.006,0.006,0.006
2.2,2.2,0,0.008,0.008,0.008,0.008,0.008
2.2,2.4,0,0.01,0.01,0.01,0.01,0.01
2.2,2.6,0,0.009,0.009,0.009,0.009,0.009
2.2,2.8,0,0.016,0.016,0.016,0.016,0.016
2.2,3,0,0.018,0.018,0.018,0.018,0.018
2.4,0,0,0,0,0,0,0
2.4,0.2,0,0,0,0,0,0
2.4,0.4,0,0,0,0,0,0
2.4,0.6,0,0,0,0,0,0
2.4,0.8,0,0,0,0,0,0
2.4,1,0,0,0,0,0,0
2.4,1.2,0,0.001,0.001,0.001,0.001,0.001
2.4,1.4,0,0,0,0,0,0
2.4,1.6,0,0,0,0,0,0
2.4,1.8,0,0.002,0.002,0.002,0.002,0.002
2.4,2,0,0.005,0.005,0.005,0.005,0.005
2.4,2.2,0,0.002,0.002,0.002,0.002,0.002
2.4,2.4,0,0.001,0.001,0.001,0.001,0.001
2.4,2.6,0,0.007,0.007,0.007,0.007,0.007
2.4,2.8,0,0.011,0.011,0.011,0.011,0.011
2.4,3,0,0.009,0.009,0.009,0.009,0.009
2.6,0,0,0,0,0,0,0
2.6,0.2,0,0,0,0,0,0
2.6,0.4,0,0,0,0,0,0
2.6,0.6,0,0,0,0,0,0
2.6,0.8,0,0,0,0,0,0
2.6,1,0,0,0,0,0,0
2.6,1.2,0,0,0,0,0,0
2.6,1.4,0,0,0,0,0,0
2.6,1.6,0,0,0,0,0,0
2.6,1.8,0,0,0,0,0,0
2.6,2,0,0.002,0.002,0.002,0.002,0.002
2.6,2.2,0,0,0,0,0,0
2.6,2.4,0,0.002,0.002,0.002,0.002,0.002
2.6,2.6,0,0.003,0.003,0.003,0.003,0.003
2.6,2.8,0,0.006,0.006,0.006,0.006,0.006
2.6,3,0,0.01,0.01,0.01,0.01,0.01
2.8,0,0,0,0,0,0,0
2.8,0.2,0,0,0,0,0,0
2.8,0.4,0,0,0,0,0,0
2.8,0.6,0,0,0,0,0,0
2.8,0.8,0,0,0,0,0,0
2.8,1,0,0,0,0,0,0
2.8,1.2,0,0,0,0,0,0
2.8,1.4,0,0,0,0,0,0
2.8,1.6,0,0,0,0,0,0
2.8,1.8,0,0,0,0,0,0
2.8,2,0,0.001,0.001,0.001,0.001,0.001
2.8,2.2,0,0,0,0,0,0
2.8,2.4,0,0,0,0,0,0
2.8,2.6,0,0.003,0.003,0.003,0.003,0.003
2.8,2.8,0,0.003,0.003,0.003,0.003,0.003
2.8,3,0,0.004,0.004,0.004,0.004,0.004
3,0,0,0,0,0,0,0
3,0.2,0,0,0,0,0,0
3,0.4,0,0,0,0,0,0
3,0.6,0,0,0,0,0,0
3,0.8,0,0,0,0,0,0
3,1,0,0,0,0,0,0
3,1.2,0,0,0,0,0,0
3,1.4,0,0,0,0,0,0
3,1.6,0,0,0,0,0,0
3,1.8,0,0,0,0,0,0
3,2,0,0,0,0,0,0
3,2.2,0,0,0,0,0,0
3,2.4,0,0,0,0,0,0
3,2.6,0,0,0,0,0,0
3,2.8,0,0.001,0.001,0.001,0.001,0.001
3,3,0,0.001,0.001,0.001,0.001,0.001
