"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t95","pow_quail"
0,0,0,0.051,0.054,0.041,0.048,0.045
0,0.2,0,0.069,0.047,0.41,0.761,0.995
0,0.4,0,0.072,0.052,0.847,0.999,1
0,0.6,0,0.099,0.056,0.976,1,1
0,0.8,0,0.091,0.056,0.998,1,1
0,1,0,0.088,0.059,1,1,1
0,1.2,0,0.085,0.035,1,1,1
0,1.4,0,0.093,0.048,1,1,1
0,1.6,0,0.09,0.038,1,1,1
0,1.8,0,0.113,0.041,1,1,1
0,2,0,0.093,0.053,1,1,1
0,2.2,0,0.112,0.048,1,1,1
0,2.4,0,0.114,0.047,1,1,1
0,2.6,0,0.109,0.051,1,1,1
0,2.8,0,0.123,0.056,1,1,1
0,3,0,0.122,0.061,1,1,1
0.2,0,0,1,1,1,1,0.047
0.2,0.2,0,1,1,1,1,0.998
0.2,0.4,0,1,1,1,1,1
0.2,0.6,0,1,1,1,1,1
0.2,0.8,0,1,1,1,1,1
0.2,1,0,1,1,1,1,1
0.2,1.2,0,1,1,1,1,1
0.2,1.4,0,1,1,1,1,1
0.2,1.6,0,1,1,1,1,1
0.2,1.8,0,1,0.999,1,1,1
0.2,2,0,1,0.995,1,1,1
0.2,2.2,0,0.994,0.993,1,1,1
0.2,2.4,0,0.991,0.985,1,1,1
0.2,2.6,0,0.983,0.981,1,1,1
0.2,2.8,0,0.981,0.962,1,1,1
0.2,3,0,0.969,0.936,1,1,1
0.4,0,0,1,1,1,1,0.048
0.4,0.2,0,1,1,1,1,0.997
0.4,0.4,0,1,1,1,1,1
0.4,0.6,0,1,1,1,1,1
0.4,0.8,0,1,1,1,1,1
0.4,1,0,1,1,1,1,1
0.4,1.2,0,1,1,1,1,1
0.4,1.4,0,1,1,1,1,1
0.4,1.6,0,1,1,1,1,1
0.4,1.8,0,1,1,1,1,1
0.4,2,0,1,1,1,1,1
0.4,2.2,0,1,1,1,1,1
0.4,2.4,0,1,1,1,1,1
0.4,2.6,0,1,1,1,1,1
0.4,2.8,0,1,1,1,1,1
0.4,3,0,1,1,1,1,1
0.6,0,0,1,1,1,1,0.058
0.6,0.2,0,1,1,1,1,0.994
0.6,0.4,0,1,1,1,1,1
0.6,0.6,0,1,1,1,1,1
0.6,0.8,0,1,1,1,1,1
0.6,1,0,1,1,1,1,1
0.6,1.2,0,1,1,1,1,1
0.6,1.4,0,1,1,1,1,1
0.6,1.6,0,1,1,1,1,1
0.6,1.8,0,1,1,1,1,1
0.6,2,0,1,1,1,1,1
0.6,2.2,0,1,1,1,1,1
0.6,2.4,0,1,1,1,1,1
0.6,2.6,0,1,1,1,1,1
0.6,2.8,0,1,1,1,1,1
0.6,3,0,1,1,1,1,1
0.8,0,0,1,1,1,1,0.054
0.8,0.2,0,1,1,1,1,0.998
0.8,0.4,0,1,1,1,1,1
