"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t95","pow_quail"
0,0,0,0.037,0.053,0.048,0.043,0.057
0,0.2,0,0.087,0.04,0.192,0.321,0.83
0,0.4,0,0.134,0.059,0.429,0.782,1
0,0.6,0,0.171,0.056,0.651,0.951,1
0,0.8,0,0.215,0.06,0.814,0.992,1
0,1,0,0.227,0.059,0.884,1,1
0,1.2,0,0.256,0.06,0.923,0.999,1
0,1.4,0,0.283,0.049,0.952,1,1
0,1.6,0,0.319,0.048,0.951,1,1
0,1.8,0,0.337,0.06,0.975,1,1
0,2,0,0.325,0.068,0.988,1,1
0,2.2,0,0.349,0.047,0.989,1,1
0,2.4,0,0.316,0.034,0.999,1,1
0,2.6,0,0.357,0.063,0.989,1,1
0,2.8,0,0.356,0.044,0.999,1,1
0,3,0,0.386,0.064,0.997,1,1
0.2,0,0,1,1,1,0.991,0.046
0.2,0.2,0,1,1,1,1,0.84
0.2,0.4,0,1,1,1,1,1
0.2,0.6,0,1,0.997,1,1,1
0.2,0.8,0,1,0.986,1,1,1
0.2,1,0,1,0.96,1,1,1
0.2,1.2,0,1,0.935,1,1,1
0.2,1.4,0,0.998,0.888,1,1,1
0.2,1.6,0,0.992,0.862,1,1,1
0.2,1.8,0,0.991,0.8,1,1,1
0.2,2,0,0.984,0.761,1,1,1
0.2,2.2,0,0.979,0.683,1,1,1
0.2,2.4,0,0.968,0.641,1,1,1
0.2,2.6,0,0.959,0.588,1,1,1
0.2,2.8,0,0.942,0.521,1,1,1
0.2,3,0,0.922,0.507,1,1,1
0.4,0,0,1,1,1,1,0.056
0.4,0.2,0,1,1,1,1,0.848
0.4,0.4,0,1,1,1,1,0.999
0.4,0.6,0,1,1,1,1,1
0.4,0.8,0,1,1,1,1,1
0.4,1,0,1,1,1,1,1
0.4,1.2,0,1,1,1,1,1
0.4,1.4,0,1,1,1,1,1
0.4,1.6,0,1,1,1,1,1
0.4,1.8,0,1,1,1,1,1
0.4,2,0,1,0.999,1,1,1
0.4,2.2,0,1,0.996,1,1,1
0.4,2.4,0,1,1,1,1,1
0.4,2.6,0,1,0.993,1,1,1
0.4,2.8,0,1,0.983,1,1,1
0.4,3,0,1,0.965,1,1,1
0.6,0,0,0.999,0.999,0.999,0.999,0.042
0.6,0.2,0,1,1,1,1,0.833
0.6,0.4,0,1,1,1,1,1
0.6,0.6,0,1,1,1,1,1
0.6,0.8,0,1,1,1,1,1
0.6,1,0,1,1,1,1,1
0.6,1.2,0,1,1,1,1,1
0.6,1.4,0,1,1,1,1,1
0.6,1.6,0,1,1,1,1,1
0.6,1.8,0,1,1,1,1,1
0.6,2,0,1,1,1,1,1
0.6,2.2,0,1,1,1,1,1
0.6,2.4,0,1,1,1,1,1
0.6,2.6,0,1,1,1,1,1
0.6,2.8,0,1,1,1,1,1
0.6,3,0,1,1,1,1,1
0.8,0,0,0.968,0.968,0.968,0.968,0.049
0.8,0.2,0,0.997,0.997,0.997,0.997,0.837
0.8,0.4,0,1,1,1,1,0.999
0.8,0.6,0,1,1,1,1,1
0.8,0.8,0,1,1,1,1,1
0.8,1,0,1,1,1,1,1
0.8,1.2,0,1,1,1,1,1
0.8,1.4,0,1,1,1,1,1
0.8,1.6,0,1,1,1,1,1
0.8,1.8,0,1,1,1,1,1
0.8,2,0,1,1,1,1,1
0.8,2.2,0,1,1,1,1,1
0.8,2.4,0,1,1,1,1,1
0.8,2.6,0,1,1,1,1,1
0.8,2.8,0,1,1,1,1,1
0.8,3,0,1,1,1,1,1
1,0,0,0.735,0.735,0.735,0.735,0.04
1,0.2,0,0.966,0.966,0.966,0.966,0.79
1,0.4,0,0.998,0.998,0.998,0.998,0.997
1,0.6,0,1,1,1,1,1
1,0.8,0,0.999,0.999,0.999,0.999,0.999
1,1,0,1,1,1,1,1
1,1.2,0,1,1,1,1,1
1,1.4,0,1,1,1,1,1
1,1.6,0,1,1,1,1,1
1,1.8,0,1,1,1,1,1
1,2,0,1,1,1,1,1
1,2.2,0,1,1,1,1,1
1,2.4,0,1,1,1,1,1
1,2.6,0,1,1,1,1,1
1,2.8,0,1,1,1,1,1
1,3,0,1,1,1,1,1
1.2,0,0,0.301,0.301,0.301,0.301,0.017
1.2,0.2,0,0.814,0.814,0.814,0.814,0.692
1.2,0.4,0,0.952,0.952,0.952,0.952,0.951
1.2,0.6,0,0.991,0.991,0.991,0.991,0.991
1.2,0.8,0,0.997,0.997,0.997,0.997,0.997
1.2,1,0,0.999,0.999,0.999,0.999,0.999
1.2,1.2,0,1,1,1,1,1
1.2,1.4,0,1,1,1,1,1
1.2,1.6,0,1,1,1,1,1
1.2,1.8,0,1,1,1,1,1
1.2,2,0,1,1,1,1,1
1.2,2.2,0,1,1,1,1,1
1.2,2.4,0,1,1,1,1,1
1.2,2.6,0,1,1,1,1,1
1.2,2.8,0,1,1,1,1,1
1.2,3,0,1,1,1,1,1
1.4,0,0,0.066,0.066,0.066,0.066,0.003
1.4,0.2,0,0.528,0.528,0.528,0.528,0.47
1.4,0.4,0,0.842,0.842,0.842,0.842,0.841
1.4,0.6,0,0.965,0.965,0.965,0.965,0.965
1.4,0.8,0,0.99,0.99,0.99,0.99,0.99
1.4,1,0,0.997,0.997,0.997,0.997,0.997
1.4,1.2,0,0.999,0.999,0.999,0.999,0.999
1.4,1.4,0,1,1,1,1,1
1.4,1.6,0,1,1,1,1,1
