"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t95","pow_quail"
0,0,0,0.043,0.048,0.049,0.075,0.042
0,0.2,0,0.081,0.053,0.252,0.482,0.925
0,0.4,0,0.113,0.063,0.609,0.925,1
0,0.6,0,0.158,0.05,0.823,0.99,1
0,0.8,0,0.179,0.062,0.926,1,1
0,1,0,0.191,0.043,0.97,1,1
0,1.2,0,0.219,0.053,0.987,1,1
0,1.4,0,0.239,0.067,0.994,1,1
0,1.6,0,0.251,0.054,0.999,1,1
0,1.8,0,0.25,0.056,0.997,1,1
0,2,0,0.279,0.06,0.998,1,1
0,2.2,0,0.26,0.05,1,1,1
0,2.4,0,0.261,0.051,1,1,1
0,2.6,0,0.289,0.071,1,1,1
0,2.8,0,0.294,0.06,1,1,1
0,3,0,0.286,0.055,1,1,1
0.2,0,0,1,1,1,1,0.052
0.2,0.2,0,1,1,1,1,0.935
0.2,0.4,0,1,1,1,1,1
0.2,0.6,0,1,1,1,1,1
0.2,0.8,0,1,1,1,1,1
0.2,1,0,1,0.998,1,1,1
0.2,1.2,0,1,0.995,1,1,1
0.2,1.4,0,1,0.975,1,1,1
0.2,1.6,0,1,0.959,1,1,1
0.2,1.8,0,0.997,0.919,1,1,1
0.2,2,0,0.995,0.878,1,1,1
0.2,2.2,0,0.984,0.851,1,1,1
0.2,2.4,0,0.994,0.811,1,1,1
0.2,2.6,0,0.979,0.799,1,1,1
0.2,2.8,0,0.962,0.712,1,1,1
0.2,3,0,0.952,0.688,1,1,1
0.4,0,0,1,1,1,1,0.063
0.4,0.2,0,1,1,1,1,0.934
0.4,0.4,0,1,1,1,1,1
0.4,0.6,0,1,1,1,1,1
0.4,0.8,0,1,1,1,1,1
0.4,1,0,1,1,1,1,1
0.4,1.2,0,1,1,1,1,1
0.4,1.4,0,1,1,1,1,1
0.4,1.6,0,1,1,1,1,1
0.4,1.8,0,1,1,1,1,1
0.4,2,0,1,1,1,1,1
0.4,2.2,0,1,1,1,1,1
0.4,2.4,0,1,1,1,1,1
0.4,2.6,0,1,1,1,1,1
0.4,2.8,0,1,0.999,1,1,1
0.4,3,0,1,0.998,1,1,1
0.6,0,0,1,1,1,1,0.049
0.6,0.2,0,1,1,1,1,0.934
0.6,0.4,0,1,1,1,1,1
0.6,0.6,0,1,1,1,1,1
0.6,0.8,0,1,1,1,1,1
0.6,1,0,1,1,1,1,1
0.6,1.2,0,1,1,1,1,1
0.6,1.4,0,1,1,1,1,1
0.6,1.6,0,1,1,1,1,1
0.6,1.8,0,1,1,1,1,1
0.6,2,0,1,1,1,1,1
0.6,2.2,0,1,1,1,1,1
0.6,2.4,0,1,1,1,1,1
0.6,2.6,0,1,1,1,1,1
0.6,2.8,0,1,1,1,1,1
0.6,3,0,1,1,1,1,1
0.8,0,0,1,1,1,1,0.045
0.8,0.2,0,1,1,1,1,0.939
0.8,0.4,0,1,1,1,1,1
0.8,0.6,0,1,1,1,1,1
0.8,0.8,0,1,1,1,1,1
0.8,1,0,1,1,1,1,1
0.8,1.2,0,1,1,1,1,1
0.8,1.4,0,1,1,1,1,1
0.8,1.6,0,1,1,1,1,1
0.8,1.8,0,1,1,1,1,1
0.8,2,0,1,1,1,1,1
0.8,2.2,0,1,1,1,1,1
0.8,2.4,0,1,1,1,1,1
0.8,2.6,0,1,1,1,1,1
0.8,2.8,0,1,1,1,1,1
0.8,3,0,1,1,1,1,1
1,0,0,0.956,0.956,0.956,0.956,0.044
1,0.2,0,0.998,0.998,0.998,0.998,0.94
1,0.4,0,1,1,1,1,1
1,0.6,0,1,1,1,1,1
1,0.8,0,1,1,1,1,1
1,1,0,1,1,1,1,1
1,1.2,0,1,1,1,1,1
1,1.4,0,1,1,1,1,1
1,1.6,0,1,1,1,1,1
1,1.8,0,1,1,1,1,1
1,2,0,1,1,1,1,1
1,2.2,0,1,1,1,1,1
1,2.4,0,1,1,1,1,1
1,2.6,0,1,1,1,1,1
1,2.8,0,1,1,1,1,1
1,3,0,1,1,1,1,1
1.2,0,0,0.566,0.566,0.566,0.566,0.024
1.2,0.2,0,0.977,0.977,0.977,0.977,0.918
1.2,0.4,0,0.999,0.999,0.999,0.999,0.999
1.2,0.6,0,1,1,1,1,1
1.2,0.8,0,1,1,1,1,1
1.2,1,0,1,1,1,1,1
1.2,1.2,0,1,1,1,1,1
1.2,1.4,0,1,1,1,1,1
1.2,1.6,0,1,1,1,1,1
1.2,1.8,0,1,1,1,1,1
1.2,2,0,1,1,1,1,1
1.2,2.2,0,1,1,1,1,1
1.2,2.4,0,1,1,1,1,1
1.2,2.6,0,1,1,1,1,1
1.2,2.8,0,1,1,1,1,1
1.2,3,0,1,1,1,1,1
1.4,0,0,0.184,0.184,0.184,0.184,0.012
1.4,0.2,0,0.834,0.834,0.834,0.834,0.78
1.4,0.4,0,0.992,0.992,0.992,0.992,0.992
1.4,0.6,0,0.999,0.999,0.999,0.999,0.999
1.4,0.8,0,1,1,1,1,1
1.4,1,0,1,1,1,1,1
1.4,1.2,0,1,1,1,1,1
1.4,1.4,0,1,1,1,1,1
1.4,1.6,0,1,1,1,1,1
1.4,1.8,0,1,1,1,1,1
